City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Arraial Do Cabo,BR,2021-10-11 23:30:16,-22.9661,-42.0278,68.25,82,100,22.21,light rain
81,Tuatapere,NZ,2021-10-11 23:32:51,-46.1333,167.6833,47.25,63,86,12.5,overcast clouds
82,Grindavik,IS,2021-10-11 23:30:48,63.8424,-22.4338,45.07,81,75,11.5,broken clouds
83,Bambous Virieux,MU,2021-10-11 23:30:35,-20.3428,57.7575,72.21,100,40,3.44,scattered clouds
84,Vaini,TO,2021-10-11 23:30:15,-21.2,-175.2,77.16,73,20,12.66,few clouds
85,Mareeba,AU,2021-10-11 23:32:51,-17.0,145.4333,83.44,59,96,3.36,overcast clouds
86,Meulaboh,ID,2021-10-11 23:31:23,4.1363,96.1285,76.35,85,97,3.42,overcast clouds
87,Isla Mujeres,MX,2021-10-11 23:32:52,21.2311,-86.731,80.65,80,11,10.33,few clouds
88,Hithadhoo,MV,2021-10-11 23:30:28,-0.6,73.0833,82.6,74,100,16.4,overcast clouds
89,Shugurovo,RU,2021-10-11 23:32:52,54.5083,52.1326,42.87,82,100,5.1,overcast clouds
90,Porvoo,FI,2021-10-11 23:32:52,60.3923,25.6651,48.92,88,90,12.82,light rain
91,Barrow,US,2021-10-11 23:30:02,71.2906,-156.7887,28.42,69,90,10.36,overcast clouds
92,Palmer,US,2021-10-11 23:32:53,42.1584,-72.3287,62.55,82,20,0.0,few clouds
93,Namibe,AO,2021-10-11 23:31:08,-15.1961,12.1522,68.23,93,23,3.85,few clouds
94,Kavieng,PG,2021-10-11 23:32:53,-2.5744,150.7967,84.52,68,23,8.75,few clouds
95,Kudahuvadhoo,MV,2021-10-11 23:23:06,2.6708,72.8944,83.12,73,97,18.5,overcast clouds
96,Marystown,CA,2021-10-11 23:32:54,47.1666,-55.1483,53.85,100,24,4.43,few clouds
97,Katsuura,JP,2021-10-11 23:30:42,35.1333,140.3,75.18,89,69,15.93,broken clouds
98,Laguna,US,2021-10-11 23:32:54,38.421,-121.4238,71.4,20,20,8.99,few clouds
