City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Gay,RU,2021-10-08 03:04:28,51.4666,58.4552,36.97,76,8,4.83
215,Caiaponia,BR,2021-10-08 03:04:28,-16.9567,-51.8103,74.41,70,100,7.25
216,Arzgir,RU,2021-10-08 03:04:28,45.3728,44.2206,41.18,69,10,15.84
217,Hasaki,JP,2021-10-08 03:04:28,35.7333,140.8333,82.29,77,60,15.37
218,Wakkanai,JP,2021-10-08 03:04:29,45.4094,141.6739,60.44,55,2,18.16
219,Union De San Antonio,MX,2021-10-08 03:04:29,21.1,-101.9667,64.31,72,19,5.3
220,Riyadh,SA,2021-10-08 03:00:33,24.6877,46.7219,78.75,39,0,3.69
221,Sibolga,ID,2021-10-08 03:04:30,1.7427,98.7792,83.21,69,100,2.04
222,Kieta,PG,2021-10-08 03:04:35,-6.2167,155.6333,83.98,77,100,5.75
223,Zasechnoye,RU,2021-10-08 03:04:36,53.1092,45.0764,34.68,39,2,0.78
224,Pavino,RU,2021-10-08 03:04:36,59.1139,46.1414,35.37,87,3,7.63
225,Rantepao,ID,2021-10-08 03:04:36,-2.9701,119.8978,81.75,57,67,4.25
226,Koutiala,ML,2021-10-08 03:04:37,12.3917,-5.4642,79.27,62,76,5.88
227,Rovnoye,RU,2021-10-08 03:04:37,50.7765,46.0509,39.78,55,0,4.94
228,Maneadero,MX,2021-10-08 03:04:38,31.7167,-116.5667,66.09,85,100,5.3
229,Nyurba,RU,2021-10-08 03:04:38,63.2842,118.3319,31.51,66,81,3.96
230,Naze,JP,2021-10-08 03:04:38,28.3667,129.4833,78.58,67,81,16.84
231,Kindu,CD,2021-10-08 03:04:39,-2.95,25.95,69.06,91,8,2.57
232,Komsomolskiy,UZ,2021-10-08 03:04:39,40.4272,71.7189,52.95,82,30,2.3
233,Waingapu,ID,2021-10-08 03:04:39,-9.6567,120.2641,87.3,54,89,10.0
234,Ocumare Del Tuy,VE,2021-10-08 03:04:40,10.1165,-66.7761,75.33,98,7,2.77
235,Sur,OM,2021-10-08 03:04:40,22.5667,59.5289,83.52,52,1,3.15
236,Xichang,CN,2021-10-08 03:04:40,27.8964,102.2634,69.93,82,81,1.77
237,Cumra,TR,2021-10-08 03:04:41,37.5732,32.7745,39.34,52,0,1.86
238,Yishui,CN,2021-10-08 03:04:41,35.7847,118.6281,57.42,88,100,7.07
239,Richards Bay,ZA,2021-10-08 03:04:42,-28.783,32.0377,66.99,82,100,15.88
240,Port Lincoln,AU,2021-10-08 03:00:41,-34.7333,135.8667,66.69,36,100,14.97
241,Strangnas,SE,2021-10-08 03:04:43,59.3774,17.0312,49.98,94,90,6.29
242,Severo-Kurilsk,RU,2021-10-08 03:04:43,50.6789,156.125,48.79,75,100,20.74
243,Zavyalovo,RU,2021-10-08 03:04:43,54.5053,82.4484,42.17,89,100,11.43
244,Baie-Comeau,CA,2021-10-08 03:00:07,49.2168,-68.1489,56.1,80,35,6.55
245,Batagay,RU,2021-10-08 03:04:44,67.6333,134.6333,32.11,60,100,13.18
246,Barcelos,PT,2021-10-08 03:04:44,41.5388,-8.6151,60.94,73,22,3.53
247,Bandarbeyla,SO,2021-10-08 03:04:45,9.4942,50.8122,78.51,81,9,14.52
248,Lakselv,NO,2021-10-08 03:04:45,70.0513,24.9718,39.02,60,19,19.57
249,Sioux Lookout,CA,2021-10-08 03:04:45,50.1001,-91.917,62.01,81,100,8.43
250,Huarmey,PE,2021-10-08 03:04:46,-10.0681,-78.1522,63.73,88,96,11.34
251,Creel,MX,2021-10-08 03:04:46,27.75,-107.6333,56.66,57,59,4.34
252,Biak,ID,2021-10-08 03:04:46,-0.9131,122.8766,84.42,64,41,5.55
253,Burgeo,CA,2021-10-08 03:00:41,47.6167,-57.6152,48.52,87,100,3.36
254,Teeli,RU,2021-10-08 03:04:48,51.0333,90.2333,32.59,65,100,0.96
255,Naryan-Mar,RU,2021-10-08 03:04:48,67.6713,53.087,47.12,88,100,28.27
256,Filimonovo,RU,2021-10-08 03:04:49,56.2011,95.4611,35.94,96,100,15.37
257,Cherskiy,RU,2021-10-08 03:04:49,68.75,161.3,12.22,93,31,1.77
258,Arinos,BR,2021-10-08 03:04:49,-15.9169,-46.1056,81.05,40,19,1.21
259,Tiksi,RU,2021-10-08 03:04:50,71.6872,128.8694,25.45,85,100,20.56
260,Erenhot,CN,2021-10-08 03:04:50,43.6475,111.9767,58.06,47,83,11.97
261,Longyearbyen,SJ,2021-10-08 03:04:51,78.2186,15.6401,17.44,86,0,10.36
262,Bambous Virieux,MU,2021-10-08 03:04:51,-20.3428,57.7575,68.22,76,50,8.03
263,Ixtapa,MX,2021-10-08 03:04:51,20.7,-105.2,77.7,93,13,2.39
264,Korla,CN,2021-10-08 03:04:52,41.7597,86.1469,44.19,32,13,17.83
265,Koshurnikovo,RU,2021-10-08 03:04:52,54.1667,93.3,31.62,97,100,5.57
266,Hovd,MN,2021-10-08 03:01:57,48.0056,91.6419,33.22,33,69,4.97
267,Visby,SE,2021-10-08 03:04:53,57.6409,18.296,49.86,100,90,3.44
268,Bilopillya,UA,2021-10-08 03:04:53,51.1502,34.3129,36.43,62,100,7.56
269,Lebu,CL,2021-10-08 03:04:53,-37.6167,-73.65,47.5,89,1,8.61
270,Onokhoy,RU,2021-10-08 03:04:53,51.932,108.0747,38.95,54,97,5.19
271,Sidhi,IN,2021-10-08 03:04:54,24.4167,81.8833,81.97,64,4,3.09
272,Tucuman,AR,2021-10-08 03:04:54,-26.8241,-65.2226,59.0,67,40,4.61
273,Fort Nelson,CA,2021-10-08 03:00:41,58.8053,-122.7002,36.73,65,100,2.8
274,Muros,ES,2021-10-08 03:04:55,42.7762,-9.0603,64.83,75,39,5.68
275,Ascope,PE,2021-10-08 03:04:55,-7.7144,-79.1078,65.34,84,99,4.68
276,Port Augusta,AU,2021-10-08 03:04:56,-32.5,137.7667,76.71,16,0,10.76
277,Kadiri,IN,2021-10-08 03:04:56,14.1167,78.1667,78.87,74,99,6.78
278,Preston,GB,2021-10-08 03:02:45,53.7667,-2.7167,60.33,88,100,5.64
279,Susanville,US,2021-10-08 03:04:56,40.4163,-120.653,57.04,47,90,3.44
280,Atambua,ID,2021-10-08 03:04:57,-9.1061,124.8925,88.14,45,25,2.42
281,Palanga,LT,2021-10-08 03:04:57,55.9175,21.0686,35.55,65,100,11.77
282,Graham,US,2021-10-08 03:04:57,47.0529,-122.2943,50.02,87,20,0.0
283,Khoni,GE,2021-10-08 03:04:58,42.3226,42.4206,54.59,67,0,16.11
284,Okhotsk,RU,2021-10-08 03:04:58,59.3833,143.3,34.3,64,38,8.03
285,Maningrida,AU,2021-10-08 03:04:58,-12.0667,134.2667,89.64,50,86,11.61
286,Hessisch Lichtenau,DE,2021-10-08 03:04:58,51.2,9.7167,42.57,93,1,2.75
287,Tshikapa,CD,2021-10-08 03:04:59,-6.4167,20.8,71.38,85,41,1.43
288,Hereford,GB,2021-10-08 03:00:13,52.0568,-2.7148,58.78,71,76,4.68
289,Adrar,MR,2021-10-08 03:05:00,20.5022,-10.0711,86.58,9,92,8.97
290,Manavgat,TR,2021-10-08 03:05:00,36.7867,31.4431,63.01,36,0,5.3
291,Asosa,ET,2021-10-08 03:02:19,10.0667,34.5333,61.05,92,100,5.12
292,Kousseri,CM,2021-10-08 03:05:01,12.0769,15.0306,79.3,24,20,4.85
293,Vanavara,RU,2021-10-08 03:05:01,60.34,102.2797,33.39,91,100,8.1
294,Stephenville,US,2021-10-08 03:05:02,32.2207,-98.2023,77.0,62,1,5.75
295,Jaciara,BR,2021-10-08 03:05:06,-15.9653,-54.9683,76.46,79,75,1.92
