City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Pineville,US,84.13,broken clouds,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
135,Champerico,GT,86.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
139,Colares,PT,75.33,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
147,Bengkulu,ID,76.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
150,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
151,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
156,Upington,ZA,77.38,clear sky,-28.4478,21.2561,River Place Manor
159,Faanui,PF,80.01,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
160,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
172,San Patricio,US,85.05,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
175,Alugan,PH,81.21,overcast clouds,12.2188,125.4808,JM Lodge
181,Medina,SA,88.23,clear sky,24.4686,39.6142,Anwar Al Madinah Mövenpick Hotel
190,Vanimo,PG,85.89,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
200,Springhill,US,83.8,clear sky,33.006,-93.4668,Holiday Motel
201,Jalu,LY,76.37,clear sky,29.0331,21.5482,صاحبة الفخامة
211,Pizarro,CO,78.08,light rain,4.9533,-77.366,Hotel Limonar
212,Hamilton,US,77.41,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
213,Pundaguitan,PH,84.25,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
217,Pringsewu,ID,78.78,overcast clouds,-5.3582,104.9744,Urban Style by Front One
219,Mogadishu,SO,77.74,overcast clouds,2.0371,45.3438,Hotel Juba
223,Bathsheba,BB,81.21,light rain,13.2167,-59.5167,Atlantis Hotel
225,Port-Gentil,GA,76.96,light rain,-0.7193,8.7815,Fengshui Residence
227,Boa Vista,BR,80.58,thunderstorm,2.8197,-60.6733,Aipana Plaza Hotel
228,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
229,Kedougou,SN,77.31,light rain,12.5579,-12.1743,Relais de Kédougou
243,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
245,Bartica,GY,80.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
247,Lorengau,PG,85.89,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
248,Poum,NC,75.76,overcast clouds,-20.2333,164.0167,Gîte kajeon
252,Dahegam,IN,78.57,clear sky,23.1667,72.8167,OYO 3231 Malhaar Resort
253,Dingle,PH,77.45,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
262,Kahului,US,85.26,light rain,20.8947,-156.47,Maui Seaside Hotel
268,Pamekasan,ID,81.97,broken clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
